#{"t_start": 1633894550.7794335, "env_id": null}
r,l,t
-12.99,300,335.045346
-12.99,300,336.302629
-12.99,300,337.558832
-12.99,300,338.803456
-12.99,300,340.063173
-12.99,300,341.314334
-12.99,300,342.545882
-12.99,300,343.771832
7.62,239,344.958317
8.43,158,345.887547
-12.99,300,346.617345
-12.99,300,347.842023
-12.99,300,349.073506
-12.99,300,350.322852
8.46,155,351.496972
-12.99,300,352.239315
-12.99,300,353.494733
-12.99,300,354.748415
8.56,145,355.907736
-12.99,300,356.606826
-12.99,300,362.153468
-12.99,300,363.39277
7.24,277,364.619639
-12.99,300,365.764916
-12.99,300,367.001229
-12.99,300,368.222157
-12.99,300,369.441424
-12.99,300,370.671241
-12.99,300,371.90737
-12.99,300,373.15435
-12.99,300,374.409864
-12.99,300,375.667168
-12.99,300,376.931346
-12.99,300,378.194602
-12.99,300,379.462128
-12.99,300,380.722201
-12.99,300,381.955504
-12.99,300,383.180939
-12.99,300,384.417999
-12.99,300,385.650075
-12.99,300,386.891563
-12.99,300,388.123278
-12.99,300,389.357666
-12.99,300,390.584964
-12.99,300,391.823934
-12.99,300,393.053608
7.16,285,394.285658
-12.99,300,395.481656
-12.99,300,396.731934
-12.99,300,397.975255
-12.99,300,399.219549
-12.99,300,400.463628
-12.99,300,401.71387
-12.99,300,402.972266
-12.99,300,408.778478
-12.99,300,410.049284
-12.99,300,411.303065
-12.99,300,412.565266
-12.99,300,413.824282
-12.99,300,415.083415
-12.99,300,416.350071
-12.99,300,417.610424
-12.99,300,418.868614
-12.99,300,420.130338
-12.99,300,421.396276
7.11,290,422.652916
-12.99,300,423.875115
-12.99,300,425.141757
-12.99,300,426.422689
-12.99,300,427.683126
-12.99,300,428.939589
7.94,207,430.145279
-12.99,300,431.071536
-12.99,300,432.338721
-12.99,300,433.579688
-12.99,300,434.809609
-12.99,300,436.121427
-12.99,300,437.355183
-12.99,300,438.5734
-12.99,300,439.800631
7.22,279,441.060998
-12.99,300,442.237029
-12.99,300,443.481371
-12.99,300,444.737219
-12.99,300,445.996283
-12.99,300,447.257144
-12.99,300,448.519562
-12.99,300,454.201565
-12.99,300,455.446612
7.24,277,456.66414
-12.99,300,457.807622
-12.99,300,459.059957
-12.99,300,460.338276
7.19,282,461.567425
-12.99,300,462.727985
-12.99,300,463.957757
-12.99,300,465.183711
-12.99,300,466.411518
-12.99,300,467.640768
-12.99,300,468.888416
-12.99,300,470.139158
-12.99,300,471.379786
-12.99,300,472.627649
-12.99,300,473.872551
-12.99,300,475.118135
-12.99,300,476.365564
-12.99,300,477.618022
-12.99,300,478.864367
-12.99,300,480.106968
-12.99,300,481.351351
-12.99,300,482.59656
-12.99,300,483.839043
-12.99,300,485.081661
-12.99,300,486.326103
-12.99,300,487.571674
-12.99,300,488.821761
-12.99,300,490.072925
8.04,197,491.260105
-12.99,300,492.143615
-12.99,300,493.390968
-12.99,300,494.641982
-12.99,300,500.104935
-12.99,300,501.353022
-12.99,300,502.595351
-12.99,300,503.84004
-12.99,300,505.084336
-12.99,300,506.33039
-12.99,300,507.58141
7.88,213,508.777688
-12.99,300,509.709371
-12.99,300,510.963063
-12.99,300,512.221581
-12.99,300,513.490531
-12.99,300,514.71626
-12.99,300,515.941083
9.54,47,517.022644
-12.99,300,517.360327
-12.99,300,518.587765
-12.99,300,519.813269
-12.99,300,521.036266
-12.99,300,522.261846
-12.99,300,523.514337
-12.99,300,524.778496
-12.99,300,526.034574
8.54,147,527.206273
-12.99,300,527.914224
-12.99,300,529.174381
-12.99,300,530.433177
-12.99,300,531.677925
-12.99,300,532.899836
-12.99,300,534.119817
-12.99,300,535.349254
-12.99,300,536.610489
7.74,227,537.826825
-12.99,300,538.822112
-12.99,300,540.076782
-12.99,300,545.471128
-12.99,300,546.701361
-12.99,300,547.924158
9.08,93,549.037349
-12.99,300,549.554167
-12.99,300,550.802836
-12.99,300,552.02378
8.94,107,553.128588
-12.99,300,553.675171
-12.99,300,554.901139
-12.99,300,556.145878
9.23,78,557.241025
-12.99,300,557.689959
-12.99,300,558.908733
9.6,41,559.982296
-12.99,300,560.299382
-12.99,300,561.52391
-12.99,300,562.745625
-12.99,300,563.968969
-12.99,300,565.191706
-12.99,300,566.415826
-12.99,300,567.659481
-12.99,300,568.928945
-12.99,300,570.188625
-12.99,300,571.448704
-12.99,300,572.708278
-12.99,300,573.965067
-12.99,300,575.222302
-12.99,300,576.483976
-12.99,300,577.709752
-12.99,300,578.931412
-12.99,300,580.183378
7.42,259,581.416775
-12.99,300,582.530624
7.27,274,583.771609
8.69,132,584.833334
-12.99,300,585.486613
-12.99,300,590.9692
8.99,102,592.109444
-12.99,300,592.657988
-12.99,300,593.918718
-12.99,300,595.180296
-12.99,300,596.443519
9.64,37,597.542676
-12.99,300,597.855202
-12.99,300,599.080746
-12.99,300,600.309364
-12.99,300,601.543702
-12.99,300,602.786831
-12.99,300,604.036188
9.66,35,605.134182
-12.99,300,605.443246
-12.99,300,606.704108
-12.99,300,607.964715
-12.99,300,609.224062
-12.99,300,610.483303
-12.99,300,611.740466
-12.99,300,613.003126
-12.99,300,614.261797
-12.99,300,615.522035
-12.99,300,616.787319
-12.99,300,618.04998
-12.99,300,619.309461
-12.99,300,620.575209
-12.99,300,621.838912
-12.99,300,623.092041
-12.99,300,624.347898
-12.99,300,625.596868
9.07,94,626.706287
-12.99,300,627.212669
-12.99,300,628.437685
-12.99,300,629.658532
-12.99,300,630.877654
-12.99,300,632.100761
-12.99,300,637.582964
-12.99,300,638.802866
-12.99,300,640.019325
-12.99,300,641.250054
-12.99,300,642.480856
7.56,245,643.67249
-12.99,300,644.71309
-12.99,300,645.959817
-12.99,300,647.200587
-12.99,300,648.444524
7.16,285,649.696296
-12.99,300,650.908488
-12.99,300,652.164247
7.08,293,653.40786
8.86,115,654.529083
-12.99,300,655.12447
-12.99,300,656.366092
-12.99,300,657.595344
-12.99,300,658.825244
7.31,270,660.043288
-12.99,300,661.171782
-12.99,300,662.402317
-12.99,300,663.632348
8.96,105,664.749987
-12.99,300,665.310484
-12.99,300,666.553154
9.11,90,667.657569
-12.99,300,668.146074
-12.99,300,669.383812
-12.99,300,670.626361
-12.99,300,671.870386
-12.99,300,673.120039
-12.99,300,674.377054
-12.99,300,675.639256
7.7,231,676.835893
-12.99,300,677.821656
-12.99,300,683.109543
-12.99,300,684.330021
-12.99,300,685.552661
7.5,251,686.743345
-12.99,300,687.79229
-12.99,300,689.010781
-12.99,300,690.237057
-12.99,300,691.460022
-12.99,300,692.681589
-12.99,300,693.901556
8.39,162,695.053085
-12.99,300,695.793647
-12.99,300,697.016475
-12.99,300,698.236872
-12.99,300,699.456949
-12.99,300,700.673661
8.52,149,701.804838
-12.99,300,702.499791
8.43,158,703.637711
-12.99,300,704.360047
-12.99,300,705.580091
-12.99,300,706.80218
-12.99,300,708.028138
-12.99,300,709.251692
-12.99,300,710.473201
-12.99,300,711.710474
7.8,221,712.91134
-12.99,300,713.890362
-12.99,300,715.16615
-12.99,300,716.425285
-12.99,300,717.689775
-12.99,300,718.953403
-12.99,300,720.215331
-12.99,300,721.477129
-12.99,300,722.739291
-12.99,300,728.074575
-12.99,300,729.334473
-12.99,300,730.576937
-12.99,300,731.800342
8.89,112,732.926535
-12.99,300,733.492061
-12.99,300,734.720163
-12.99,300,735.988693
-12.99,300,737.22241
-12.99,300,738.447423
-12.99,300,739.669672
-12.99,300,740.927403
-12.99,300,742.14983
-12.99,300,743.371056
-12.99,300,744.595552
-12.99,300,745.824897
-12.99,300,747.051214
8.82,119,748.176328
-12.99,300,748.777486
9.71,30,749.874778
-12.99,300,750.162033
-12.99,300,751.43104
-12.99,300,752.678081
8.65,136,753.856346
-12.99,300,754.524977
-12.99,300,755.7742
-12.99,300,756.995787
-12.99,300,758.220156
-12.99,300,759.441942
-12.99,300,760.668186
-12.99,300,761.893646
9.72,29,762.964044
-12.99,300,763.240288
-12.99,300,764.468384
-12.99,300,765.697735
8.97,104,766.807403
-12.99,300,767.349864
-12.99,300,772.648133
-12.99,300,773.87719
-12.99,300,775.12133
-12.99,300,776.365693
-12.99,300,777.620151
7.43,258,778.852552
-12.99,300,779.946259
9.26,75,781.032636
-12.99,300,781.468251
-12.99,300,782.688485
8.71,130,783.813277
-12.99,300,784.444689
-12.99,300,785.671913
-12.99,300,786.903387
-12.99,300,788.133183
-12.99,300,789.352638
-12.99,300,790.594716
-12.99,300,791.8371
-12.99,300,793.082655
8.66,135,794.225691
-12.99,300,794.881701
8.38,163,796.043238
-12.99,300,796.80317
-12.99,300,798.047845
-12.99,300,799.297929
8.18,183,800.488834
-12.99,300,801.327841
-12.99,300,802.59426
-12.99,300,803.848825
-12.99,300,805.111122
9.72,29,806.212053
-12.99,300,806.495559
-12.99,300,807.758
9.72,29,808.854239
-12.99,300,809.139615
-12.99,300,810.397414
-12.99,300,811.649252
-12.99,300,812.881352
-12.99,300,818.150739
-12.99,300,819.378416
-12.99,300,820.598566
9.04,97,821.714947
-12.99,300,822.236736
-12.99,300,823.481967
-22.99,300,824.737584
-12.99,300,825.995166
-12.99,300,827.258436
-12.99,300,828.516337
-12.99,300,829.784066
-12.99,300,831.044373
-12.99,300,832.305505
-12.99,300,833.563166
-12.99,300,834.823224
-12.99,300,836.083843
-12.99,300,837.368231
-12.99,300,838.604695
-12.99,300,839.831508
-12.99,300,841.057229
-12.99,300,842.28951
-12.99,300,843.515265
-12.99,300,844.737202
-12.99,300,845.958912
-12.99,300,847.182714
-12.99,300,848.415102
-12.99,300,849.655136
7.87,214,850.847316
-12.99,300,851.787745
-12.99,300,853.047199
9.71,30,854.144551
-12.99,300,854.43367
-12.99,300,855.692662
9.72,29,856.787748
-12.99,300,857.072827
-12.99,300,858.304787
-12.99,300,859.527811
-12.99,300,864.901819
-12.99,300,866.126257
-12.99,300,867.352795
-12.99,300,868.59219
-12.99,300,869.851398
-12.99,300,871.110854
-12.99,300,872.370862
-12.99,300,873.627898
-12.99,300,874.890938
-12.99,300,876.148378
-12.99,300,877.409642
-12.99,300,878.669601
-12.99,300,879.936914
-12.99,300,881.202352
-12.99,300,882.456178
9.08,93,883.580998
-12.99,300,884.081103
-12.99,300,885.312498
-12.99,300,886.541932
-12.99,300,887.773299
-12.99,300,889.003318
8.22,179,890.161535
-12.99,300,890.962423
-12.99,300,892.18141
-12.99,300,893.409002
8.92,109,894.525949
-12.99,300,895.085849
7.77,224,896.273195
-12.99,300,897.239076
-12.99,300,898.471131
-12.99,300,899.695218
-12.99,300,900.927113
-12.99,300,902.159902
-12.99,300,903.388812
-12.99,300,904.617061
-12.99,300,910.063538
9.72,29,911.130358
-12.99,300,911.403732
-12.99,300,912.628909
-12.99,300,913.858259
-12.99,300,915.085269
-12.99,300,916.318145
7.04,297,917.541701
-12.99,300,918.755242
-12.99,300,919.983131
-12.99,300,921.206589
-12.99,300,922.448511
-12.99,300,923.704607
-12.99,300,924.964538
-12.99,300,926.219507
9.25,76,927.340687
-12.99,300,927.797352
-12.99,300,929.059355
-12.99,300,930.315428
-12.99,300,931.543033
8.96,105,932.65821
-12.99,300,933.203007
-12.99,300,934.425759
-12.99,300,935.654678
-12.99,300,936.882853
-12.99,300,938.123218
-12.99,300,939.365393
-12.99,300,940.608574
-12.99,300,941.845047
9.69,32,942.916995
-12.99,300,943.206263
-12.99,300,944.43712
9.69,32,945.504379
-12.99,300,945.789836
-12.99,300,947.009684
-12.99,300,948.233283
-12.99,300,949.452089
-12.99,300,954.848529
-12.99,300,956.074934
8.36,165,957.220927
8.58,143,957.882987
-12.99,300,958.55928
-12.99,300,959.812956
-12.99,300,961.067487
-12.99,300,962.285896
-12.99,300,963.506136
-12.99,300,964.727742
-12.99,300,965.951004
-12.99,300,967.176611
8.44,157,968.318752
-12.99,300,969.048856
-12.99,300,970.28478
-12.99,300,971.511495
9.33,68,972.596548
-12.99,300,973.008835
-12.99,300,974.229254
-12.99,300,975.473353
7.55,246,976.687202
-12.99,300,977.741573
-12.99,300,978.982226
8.39,162,980.14621
-12.99,300,980.90746
-12.99,300,982.166775
-12.99,300,983.401067
9.31,70,984.490753
-12.99,300,984.908913
-12.99,300,986.137438
-12.99,300,987.366027
-12.99,300,988.597131
8.91,110,989.712877
-12.99,300,990.270327
-12.99,300,991.490406
-12.99,300,992.711259
-12.99,300,993.93258
-12.99,300,995.15619
-12.99,300,1000.533157
9.62,39,1001.608363
-12.99,300,1001.921269
-12.99,300,1003.15335
-12.99,300,1004.379956
-12.99,300,1005.633671
9.29,72,1006.730608
7.18,283,1007.147089
-12.99,300,1008.324784
-12.99,300,1009.546432
-12.99,300,1010.780866
8.78,123,1011.916492
-12.99,300,1012.53211
-12.99,300,1013.77816
-12.99,300,1015.024924
8.3,171,1016.188354
-12.99,300,1016.975955
9.26,75,1018.097795
-12.99,300,1018.546307
-12.99,300,1019.80754
-12.99,300,1021.064356
-12.99,300,1022.32132
-12.99,300,1023.57402
-12.99,300,1024.819431
-12.99,300,1026.05521
-12.99,300,1027.27667
-12.99,300,1028.501064
-12.99,300,1029.722358
-12.99,300,1030.94748
-12.99,300,1032.165654
8.52,149,1033.308446
-12.99,300,1034.021195
-12.99,300,1035.278125
-12.99,300,1036.547279
-12.99,300,1037.775295
-12.99,300,1039.000235
-12.99,300,1040.234199
-12.99,300,1045.408605
-12.99,300,1046.669732
-12.99,300,1047.90074
-12.99,300,1049.125325
-12.99,300,1050.350266
-12.99,300,1051.573845
-12.99,300,1052.797942
-12.99,300,1054.015365
-12.99,300,1055.237081
-12.99,300,1056.465801
8.22,179,1057.624015
-12.99,300,1058.420854
-12.99,300,1059.6406
-12.99,300,1060.872077
-12.99,300,1062.10243
-12.99,300,1063.346712
-12.99,300,1064.611184
-12.99,300,1065.863609
8.11,190,1067.022863
-12.99,300,1067.860662
-12.99,300,1069.083748
-12.99,300,1070.306114
-12.99,300,1071.554338
-12.99,300,1072.78427
8.98,103,1073.89206
-12.99,300,1074.428183
-12.99,300,1075.656585
-12.99,300,1076.884635
8.18,183,1078.047811
-12.99,300,1078.866472
-12.99,300,1080.106786
-12.99,300,1081.332836
-12.99,300,1082.558289
-12.99,300,1083.791183
-12.99,300,1085.018222
-12.99,300,1090.536589
-12.99,300,1091.759207
-12.99,300,1092.983609
-12.99,300,1094.213938
8.59,142,1095.343696
-12.99,300,1096.016385
-12.99,300,1097.246502
9.02,99,1098.378036
8.15,186,1098.844567
-12.99,300,1099.694363
-12.99,300,1100.957693
-12.99,300,1102.218556
-12.99,300,1103.480715
-12.99,300,1104.739892
9.43,58,1105.854739
-12.99,300,1106.235734
-12.99,300,1107.462019
-12.99,300,1108.686749
-12.99,300,1109.913148
-12.99,300,1111.146635
-12.99,300,1112.366924
-12.99,300,1113.587004
-12.99,300,1114.811164
-12.99,300,1116.059056
-12.99,300,1117.306448
-12.99,300,1118.549567
-12.99,300,1119.791998
-12.99,300,1121.037386
-12.99,300,1122.281092
-12.99,300,1123.525488
-12.99,300,1124.766066
-12.99,300,1126.010334
8.77,124,1127.148851
-12.99,300,1127.772293
-12.99,300,1129.017706
-12.99,300,1130.26172
7.7,231,1131.463557
-12.99,300,1136.601967
9.22,79,1137.71237
-12.99,300,1138.171029
-12.99,300,1139.417871
8.82,119,1140.55248
7.04,297,1141.149962
-12.99,300,1142.386982
-12.99,300,1143.630695
-12.99,300,1144.873131
-12.99,300,1146.129183
-12.99,300,1147.393421
-12.99,300,1148.637429
-12.99,300,1149.867589
-12.99,300,1151.092461
-12.99,300,1152.315533
-12.99,300,1153.548989
-12.99,300,1154.774417
-12.99,300,1155.998233
8.98,103,1157.104912
-12.99,300,1157.646394
8.62,139,1158.77882
-12.99,300,1159.439504
-12.99,300,1160.666633
-12.99,300,1161.885534
-12.99,300,1163.110638
-12.99,300,1164.33024
-12.99,300,1165.556594
8.35,166,1166.730626
-12.99,300,1167.508505
-12.99,300,1168.768908
-12.99,300,1170.031581
-12.99,300,1171.296249
-12.99,300,1172.518527
-12.99,300,1173.74374
8.86,115,1174.859394
-12.99,300,1175.435861
-12.99,300,1176.660329
-12.99,300,1181.95476
-12.99,300,1183.182696
-12.99,300,1184.405356
-12.99,300,1185.622522
-12.99,300,1186.840253
-12.99,300,1188.080273
-12.99,300,1189.346532
-12.99,300,1190.609511
-12.99,300,1191.871032
-12.99,300,1193.114532
-12.99,300,1194.341353
-12.99,300,1195.569687
-12.99,300,1196.800768
-12.99,300,1198.040191
-12.99,300,1199.267679
-12.99,300,1200.487861
-12.99,300,1201.708831
-12.99,300,1202.928449
-12.99,300,1204.145705
-12.99,300,1205.366623
-12.99,300,1206.58896
-12.99,300,1207.822786
-12.99,300,1209.066556
-12.99,300,1210.315373
-12.99,300,1211.576069
-12.99,300,1212.840013
-12.99,300,1214.106738
-12.99,300,1215.362859
-12.99,300,1216.618354
-12.99,300,1217.877968
-12.99,300,1219.141639
-12.99,300,1220.400615
-12.99,300,1221.636222
-12.99,300,1226.87638
-12.99,300,1228.105877
-12.99,300,1229.343914
