#{"t_start": 1633894550.7794335, "env_id": null}
r,l,t
-12.99,300,6249.266629
8.38,163,6250.442838
-12.99,300,6251.207074
-12.99,300,6252.470401
-12.99,300,6253.707208
-12.99,300,6254.933286
-12.99,300,6256.160195
-12.99,300,6257.387781
7.1,291,6258.620366
-12.99,300,6259.812712
-12.99,300,6261.037505
-12.99,300,6262.270476
-12.99,300,6263.492404
-12.99,300,6264.739777
8.52,149,6265.907736
-12.99,300,6266.623078
-12.99,300,6267.882827
-12.99,300,6269.127891
-12.99,300,6270.348508
-12.99,300,6271.576774
-12.99,300,6272.808164
-12.99,300,6274.039837
-12.99,300,6275.272483
-12.99,300,6276.515867
-12.99,300,6277.761672
-12.99,300,6279.009831
-12.99,300,6280.263978
8.8,121,6281.415524
-12.99,300,6282.019446
-12.99,300,6283.245486
-12.99,300,6284.469526
-12.99,300,6285.690885
-12.99,300,6286.907987
-12.99,300,6292.431593
-12.99,300,6293.654005
-12.99,300,6294.890844
-12.99,300,6296.118392
-12.99,300,6297.348291
-12.99,300,6298.572832
-12.99,300,6299.799355
-12.99,300,6301.026195
-12.99,300,6302.26152
-12.99,300,6303.505946
-12.99,300,6304.758962
-12.99,300,6306.019047
-12.99,300,6307.271736
-12.99,300,6308.503641
7.47,254,6309.70936
-12.99,300,6310.789682
-12.99,300,6312.035145
-12.99,300,6313.284114
-12.99,300,6314.531414
-12.99,300,6315.782997
-12.99,300,6317.030966
-12.99,300,6318.28489
-12.99,300,6319.534168
-12.99,300,6320.778983
-12.99,300,6322.030633
-12.99,300,6323.321967
7.78,223,6324.534122
-12.99,300,6325.518542
9.3,71,6326.646916
-12.99,300,6327.079596
-12.99,300,6328.308292
-12.99,300,6329.532092
-12.99,300,6330.773618
-12.99,300,6332.009138
-12.99,300,6333.236496
-12.99,300,6338.783962
-12.99,300,6340.008246
-12.99,300,6341.232301
-12.99,300,6342.457467
-12.99,300,6343.677923
-12.99,300,6344.903616
-12.99,300,6346.126235
-12.99,300,6347.349088
-12.99,300,6348.572592
-12.99,300,6349.802372
7.79,222,6350.998765
-12.99,300,6351.964107
-12.99,300,6353.238532
-12.99,300,6354.497086
-12.99,300,6355.757298
-12.99,300,6357.015435
-12.99,300,6358.277188
-12.99,300,6359.536087
-12.99,300,6360.792048
-12.99,300,6362.05196
-12.99,300,6363.309605
-12.99,300,6364.577484
-12.99,300,6365.837774
-12.99,300,6367.099907
-12.99,300,6368.364092
-12.99,300,6369.632128
7.25,276,6370.866275
-12.99,300,6372.026452
-12.99,300,6373.254122
-12.99,300,6374.477378
-12.99,300,6375.699481
-12.99,300,6376.923847
-12.99,300,6378.155454
8.25,176,6379.309801
-12.99,300,6384.539071
-12.99,300,6385.774619
-12.99,300,6387.000611
-12.99,300,6388.231531
-12.99,300,6389.458559
-12.99,300,6390.678559
-12.99,300,6391.898043
-12.99,300,6393.124156
-12.99,300,6394.375292
-12.99,300,6395.632555
-12.99,300,6396.894375
-12.99,300,6398.157441
-12.99,300,6399.418409
-12.99,300,6400.677181
-12.99,300,6401.925307
-12.99,300,6403.158237
-12.99,300,6404.395022
-12.99,300,6405.62227
-12.99,300,6406.848918
-12.99,300,6408.077745
-12.99,300,6409.304632
-12.99,300,6410.537799
-12.99,300,6411.761788
-12.99,300,6412.986623
-12.99,300,6414.210114
-12.99,300,6415.448095
-12.99,300,6416.700035
-12.99,300,6417.964432
-12.99,300,6419.22617
-12.99,300,6420.487682
-12.99,300,6421.75484
-12.99,300,6423.028847
-12.99,300,6424.269592
-12.99,300,6429.813159
-12.99,300,6431.036961
-12.99,300,6432.273135
-12.99,300,6433.499118
-12.99,300,6434.759613
-12.99,300,6436.057066
8.72,129,6437.2059
-12.99,300,6437.833177
-12.99,300,6439.057438
-12.99,300,6440.291417
-12.99,300,6441.550787
-12.99,300,6442.784219
-12.99,300,6444.018816
-12.99,300,6445.26509
-12.99,300,6446.510727
-12.99,300,6447.758872
-12.99,300,6449.00216
-12.99,300,6450.249224
-12.99,300,6451.508787
-12.99,300,6452.768814
-12.99,300,6454.031242
-12.99,300,6455.290122
-12.99,300,6456.549577
-12.99,300,6457.814814
-12.99,300,6459.08403
-12.99,300,6460.347369
-12.99,300,6461.60984
-12.99,300,6462.871819
-12.99,300,6464.130162
-12.99,300,6465.389042
-12.99,300,6466.653414
-12.99,300,6467.913165
-12.99,300,6469.169706
-12.99,300,6470.430798
-12.99,300,6476.149057
7.31,270,6477.392712
-12.99,300,6478.544873
-12.99,300,6479.800228
-12.99,300,6481.062717
-12.99,300,6482.323192
-12.99,300,6483.583293
-12.99,300,6484.838947
-12.99,300,6486.079207
-12.99,300,6487.315263
-12.99,300,6488.560103
-12.99,300,6489.807032
-12.99,300,6491.052253
-12.99,300,6492.307523
-12.99,300,6493.57106
-12.99,300,6494.834587
-12.99,300,6496.082694
-12.99,300,6497.308533
-12.99,300,6498.536146
-12.99,300,6499.764455
-12.99,300,6500.997739
-12.99,300,6502.250553
-12.99,300,6503.511985
-12.99,300,6504.768932
-12.99,300,6506.025065
-12.99,300,6507.286878
-12.99,300,6508.557017
-12.99,300,6509.791692
-12.99,300,6511.025527
-12.99,300,6512.255972
-12.99,300,6513.495692
-12.99,300,6514.723978
-12.99,300,6515.946651
-12.99,300,6517.167936
-12.99,300,6522.726903
-12.99,300,6523.94734
-12.99,300,6525.192795
-12.99,300,6526.454086
7.69,232,6527.675229
-12.99,300,6528.691024
-12.99,300,6529.950908
-12.99,300,6531.220354
-12.99,300,6532.485247
-12.99,300,6533.749784
-12.99,300,6535.020403
-12.99,300,6536.277044
9.18,83,6537.389199
-12.99,300,6537.857903
-12.99,300,6539.084545
-12.99,300,6540.314758
-12.99,300,6541.544964
9.13,88,6542.648772
-12.99,300,6543.135681
-12.99,300,6544.364946
-12.99,300,6545.602917
-12.99,300,6546.849817
-12.99,300,6548.095785
-12.99,300,6549.34431
-12.99,300,6550.601741
-12.99,300,6551.851517
-12.99,300,6553.115294
-12.99,300,6554.371931
-12.99,300,6555.630369
-12.99,300,6556.889291
-12.99,300,6558.152974
-12.99,300,6559.410268
-12.99,300,6560.671976
-12.99,300,6561.931031
-12.99,300,6563.194237
-12.99,300,6569.044419
-12.99,300,6570.30516
-12.99,300,6571.568612
-12.99,300,6572.83603
-12.99,300,6574.095903
-12.99,300,6575.358846
-12.99,300,6576.61424
-12.99,300,6577.868476
-12.99,300,6579.103353
-12.99,300,6580.331697
-12.99,300,6581.553269
-12.99,300,6582.782348
-12.99,300,6584.006472
-12.99,300,6585.23315
-12.99,300,6586.46242
-12.99,300,6587.685656
-12.99,300,6588.906559
-12.99,300,6590.129655
-12.99,300,6591.348887
-12.99,300,6592.569563
-12.99,300,6593.790758
-12.99,300,6595.011962
-12.99,300,6596.231972
-12.99,300,6597.451642
-12.99,300,6598.675403
-12.99,300,6599.901446
-12.99,300,6601.12477
-12.99,300,6602.352825
-12.99,300,6603.582139
-12.99,300,6604.816702
-12.99,300,6606.049227
-12.99,300,6607.275195
-12.99,300,6608.499173
7.87,214,6613.975928
-12.99,300,6614.900834
-12.99,300,6616.139232
-12.99,300,6617.392781
-12.99,300,6618.656979
-12.99,300,6619.919188
-12.99,300,6621.18324
-12.99,300,6622.459519
-12.99,300,6623.734088
-12.99,300,6625.000718
-12.99,300,6626.273889
-12.99,300,6627.54244
-12.99,300,6628.810129
-12.99,300,6630.070117
-12.99,300,6631.33105
-12.99,300,6632.590494
-12.99,300,6633.854019
-12.99,300,6635.113428
-12.99,300,6636.375639
-12.99,300,6637.618057
-12.99,300,6638.843477
-12.99,300,6640.071744
-12.99,300,6641.320231
-12.99,300,6642.567022
-12.99,300,6643.817962
-12.99,300,6645.06378
-12.99,300,6646.308664
-12.99,300,6647.553943
-12.99,300,6648.812462
-12.99,300,6650.070684
-12.99,300,6651.33146
-12.99,300,6652.592402
-12.99,300,6653.855667
-12.99,300,6655.118884
-12.99,300,6660.907087
-12.99,300,6662.168211
-12.99,300,6663.431964
-12.99,300,6664.690779
-12.99,300,6665.911387
-12.99,300,6667.132247
-12.99,300,6668.353985
-12.99,300,6669.575193
-12.99,300,6670.794692
-12.99,300,6672.018721
-12.99,300,6673.245561
8.59,142,6674.379453
-12.99,300,6675.054852
-12.99,300,6676.285048
-12.99,300,6677.510507
-12.99,300,6678.738622
-12.99,300,6679.962385
-12.99,300,6681.182795
-12.99,300,6682.405016
-12.99,300,6683.632169
-12.99,300,6684.856776
-12.99,300,6686.083099
-12.99,300,6687.332426
-12.99,300,6688.594539
-12.99,300,6689.854524
-12.99,300,6691.104726
-12.99,300,6692.332489
-12.99,300,6693.558825
-12.99,300,6694.787158
-12.99,300,6696.019481
-12.99,300,6697.244074
8.92,109,6698.360913
-12.99,300,6698.916478
-12.99,300,6700.140812
9.28,73,6701.234142
-12.99,300,6706.076679
-12.99,300,6707.30384
-12.99,300,6708.532873
-12.99,300,6709.754826
-12.99,300,6710.975478
-12.99,300,6712.196219
-12.99,300,6713.419321
-12.99,300,6714.662185
-12.99,300,6715.906534
-12.99,300,6717.156166
7.16,285,6718.405849
-12.99,300,6719.614005
-12.99,300,6720.873714
-12.99,300,6722.13633
-12.99,300,6723.392465
-12.99,300,6724.623964
8.14,187,6725.787341
-12.99,300,6726.623067
-12.99,300,6727.859422
-12.99,300,6729.121025
-12.99,300,6730.384989
-12.99,300,6731.65297
-12.99,300,6732.922236
-12.99,300,6734.186508
-12.99,300,6735.445819
7.6,241,6736.736505
7.83,218,6737.735762
-12.99,300,6738.706783
7.01,300,6739.968835
-12.99,300,6741.223707
-12.99,300,6742.450883
-12.99,300,6743.678109
-12.99,300,6744.920492
-12.99,300,6746.18454
-12.99,300,6751.952007
-12.99,300,6753.212706
-12.99,300,6754.469734
-12.99,300,6755.730998
-12.99,300,6756.997478
-12.99,300,6758.252198
-12.99,300,6759.483749
-12.99,300,6760.715072
-12.99,300,6761.944751
8.6,141,6763.084066
-12.99,300,6763.758218
-12.99,300,6764.987862
-12.99,300,6766.237936
-12.99,300,6767.497337
-12.99,300,6768.76538
-12.99,300,6769.992436
-12.99,300,6771.223323
-12.99,300,6772.449574
7.7,231,6773.640123
-12.99,300,6774.626453
-12.99,300,6775.858813
-12.99,300,6777.088358
-12.99,300,6778.321037
-12.99,300,6779.544503
-12.99,300,6780.77298
-12.99,300,6782.001528
-12.99,300,6783.233068
8.31,170,6784.383994
-12.99,300,6785.15447
-12.99,300,6786.393603
-12.99,300,6787.647618
-12.99,300,6788.92808
-12.99,300,6790.17462
-12.99,300,6791.417696
-12.99,300,6792.660255
-12.99,300,6798.032428
-12.99,300,6799.276675
-12.99,300,6800.504651
-12.99,300,6801.726189
7.86,215,6802.901936
-12.99,300,6803.837594
-12.99,300,6805.07427
-12.99,300,6806.323506
-12.99,300,6807.577448
-12.99,300,6808.813228
-12.99,300,6810.040189
-12.99,300,6811.267626
-12.99,300,6812.493084
-12.99,300,6813.721613
-12.99,300,6814.951432
-12.99,300,6816.174873
-12.99,300,6817.403817
-12.99,300,6818.637706
-12.99,300,6819.861047
-12.99,300,6821.084356
-12.99,300,6822.311265
-12.99,300,6823.558858
-12.99,300,6824.815424
-12.99,300,6826.079908
-12.99,300,6827.340783
7.81,220,6828.554218
-12.99,300,6829.52802
-12.99,300,6830.790959
-12.99,300,6832.053555
-12.99,300,6833.315707
-12.99,300,6834.57155
-12.99,300,6835.798534
-12.99,300,6837.018929
-12.99,300,6842.546086
-12.99,300,6843.769545
-12.99,300,6844.987245
-12.99,300,6846.20639
-12.99,300,6847.427129
7.34,267,6848.62844
-12.99,300,6849.764627
-12.99,300,6851.030707
7.33,268,6852.270601
-12.99,300,6853.421866
-12.99,300,6854.667711
-12.99,300,6855.887909
-12.99,300,6857.109535
-12.99,300,6858.333102
-12.99,300,6859.574951
-12.99,300,6860.823929
-12.99,300,6862.064947
7.15,286,6863.305186
8.77,124,6864.407378
-12.99,300,6865.037727
-12.99,300,6866.300441
8.7,131,6867.45898
-12.99,300,6868.10955
-12.99,300,6869.374262
-12.99,300,6870.636925
-12.99,300,6871.902436
-12.99,300,6873.171184
-12.99,300,6874.439272
-12.99,300,6875.703824
-12.99,300,6876.975679
-12.99,300,6878.245504
-12.99,300,6879.508027
-12.99,300,6880.766339
-12.99,300,6882.024875
7.92,209,6883.231057
-12.99,300,6884.163012
-12.99,300,6889.635353
-12.99,300,6890.859639
8.63,138,6891.987565
-12.99,300,6892.646653
-12.99,300,6893.872209
7.62,239,6895.061505
8.41,160,6895.99667
-12.99,300,6896.730507
-12.99,300,6897.955181
-12.99,300,6899.181822
-12.99,300,6900.405771
8.01,200,6901.574379
7.22,279,6902.439986
8.02,199,6903.540234
-12.99,300,6904.414551
-12.99,300,6905.6382
-12.99,300,6906.858355
-12.99,300,6908.088028
7.07,294,6909.337304
-12.99,300,6910.575297
-12.99,300,6911.834115
-12.99,300,6913.085852
-12.99,300,6914.317648
-12.99,300,6915.557034
9.33,68,6916.646666
-12.99,300,6917.063131
-12.99,300,6918.292369
-12.99,300,6919.522707
-12.99,300,6920.752928
-12.99,300,6922.007716
-12.99,300,6923.235031
-12.99,300,6924.484115
-12.99,300,6925.721696
-12.99,300,6926.944461
-12.99,300,6928.172622
-12.99,300,6929.400154
-12.99,300,6934.82646
-12.99,300,6936.047861
-12.99,300,6937.269628
-12.99,300,6938.491928
-12.99,300,6939.710067
-12.99,300,6940.930334
-12.99,300,6942.149904
8.25,176,6943.298551
-12.99,300,6944.08707
8.01,200,6945.247071
-12.99,300,6946.116811
-12.99,300,6947.34172
-12.99,300,6948.588902
-12.99,300,6949.835435
-12.99,300,6951.098694
-12.99,300,6952.360628
-12.99,300,6953.619321
-12.99,300,6954.8635
8.7,131,6955.984441
-12.99,300,6956.617661
-12.99,300,6957.834836
8.72,129,6958.960919
-12.99,300,6959.595857
-12.99,300,6960.839702
-12.99,300,6962.080503
-12.99,300,6963.331289
-12.99,300,6964.559922
-12.99,300,6965.78648
-12.99,300,6967.016057
-12.99,300,6968.24508
-12.99,300,6969.485797
-12.99,300,6970.71351
7.77,224,6971.895075
8.34,167,6972.775991
-12.99,300,6973.537825
-12.99,300,6974.757446
-12.99,300,6980.228585
-12.99,300,6981.453431
7.26,275,6982.672039
-12.99,300,6983.81563
-12.99,300,6985.045647
-12.99,300,6986.277854
-12.99,300,6987.520191
-12.99,300,6988.753903
-12.99,300,6989.982657
9.16,85,6991.085552
-12.99,300,6991.562018
-12.99,300,6992.792725
7.16,285,6994.016191
-12.99,300,6995.192693
-12.99,300,6996.424882
-12.99,300,6997.655927
-12.99,300,6998.890173
8.43,158,7000.037438
-12.99,300,7000.768279
-12.99,300,7001.991742
-12.99,300,7003.244073
-12.99,300,7004.503757
-12.99,300,7005.763638
8.26,175,7006.952003
-12.99,300,7007.765587
-12.99,300,7009.015061
-12.99,300,7010.246809
8.38,163,7011.393464
-12.99,300,7012.138422
-12.99,300,7013.363615
-12.99,300,7014.590933
-12.99,300,7015.814575
8.58,143,7016.946295
-12.99,300,7017.622128
-12.99,300,7018.847893
-12.99,300,7020.095341
-12.99,300,7025.159771
-12.99,300,7026.394329
-12.99,300,7027.637493
8.45,156,7028.797294
-12.99,300,7029.542129
8.64,137,7030.701737
-12.99,300,7031.377399
-12.99,300,7032.642864
7.08,293,7033.902479
8.39,162,7035.053715
-12.99,300,7035.852384
-12.99,300,7037.101674
-12.99,300,7038.340651
-12.99,300,7039.573955
-12.99,300,7040.80469
-12.99,300,7042.040205
8.5,151,7043.182825
-12.99,300,7043.886186
-12.99,300,7045.111975
8.2,181,7046.265443
-12.99,300,7047.079894
-12.99,300,7048.320319
-12.99,300,7049.570793
-12.99,300,7050.814947
-12.99,300,7052.060106
-12.99,300,7053.303934
-12.99,300,7054.550872
-12.99,300,7055.793951
8.58,143,7056.950259
-12.99,300,7057.643969
-12.99,300,7058.905135
-12.99,300,7060.170363
-12.99,300,7061.43478
8.52,149,7062.602113
-12.99,300,7063.316847
7.64,237,7064.545076
-12.99,300,7065.576236
-12.99,300,7070.842449
-12.99,300,7072.102688
-12.99,300,7073.364375
-12.99,300,7074.62828
-12.99,300,7075.884234
-12.99,300,7077.114046
-12.99,300,7078.352892
-12.99,300,7079.617099
-12.99,300,7080.859147
-12.99,300,7082.104207
-12.99,300,7083.355109
8.01,200,7084.547753
-12.99,300,7085.42797
8.67,134,7086.559964
-12.99,300,7087.206481
-12.99,300,7088.433301
-12.99,300,7089.660199
-12.99,300,7090.88514
-12.99,300,7092.110607
-12.99,300,7093.333107
-12.99,300,7094.561059
8.21,180,7095.709656
8.79,122,7096.413918
-12.99,300,7097.03059
-12.99,300,7098.292661
-12.99,300,7099.555377
7.11,290,7100.813414
-12.99,300,7102.005579
-12.99,300,7103.234287
-12.99,300,7104.465162
8.46,155,7105.607112
-12.99,300,7106.330181
8.64,137,7107.482428
9.16,85,7108.019207
-12.99,300,7108.501719
8.56,145,7109.654249
-12.99,300,7110.354114
-12.99,300,7115.841788
-12.99,300,7117.093754
-12.99,300,7118.320472
-12.99,300,7119.543313
-12.99,300,7120.767494
9.38,63,7121.854188
8.87,114,7122.141583
-12.99,300,7122.717614
-12.99,300,7123.943223
8.55,146,7125.075802
-12.99,300,7125.760739
-12.99,300,7126.986517
-12.99,300,7128.211596
-12.99,300,7129.437112
-12.99,300,7130.662695
-12.99,300,7131.904177
-12.99,300,7133.156955
7.85,216,7134.353174
7.93,208,7135.245071
7.82,219,7136.112717
-12.99,300,7137.066899
-12.99,300,7138.317648
-12.99,300,7139.577611
-12.99,300,7140.835811
-12.99,300,7142.094098
-12.99,300,7143.35238
8.5,151,7144.520466
-12.99,300,7145.242133
-12.99,300,7146.508123
-12.99,300,7147.749587
8.47,154,7148.890204
-12.99,300,7149.605082
-12.99,300,7150.834263
-12.99,300,7152.069016
8.87,114,7153.186903
-12.99,300,7153.763648
8.17,184,7154.924078
-12.99,300,7155.743526
-12.99,300,7161.154577
7.3,271,7162.363323
-12.99,300,7163.487514
-12.99,300,7164.71703
-12.99,300,7165.943604
-12.99,300,7167.166013
-12.99,300,7168.392198
-12.99,300,7169.623443
-12.99,300,7170.857811
-12.99,300,7172.086795
7.85,216,7173.26219
-12.99,300,7174.207772
-12.99,300,7175.466843
-12.99,300,7176.726634
-12.99,300,7177.987602
-12.99,300,7179.247533
-12.99,300,7180.508763
-12.99,300,7181.765733
7.03,298,7182.996285
-12.99,300,7184.222861
7.2,281,7185.438292
8.31,170,7186.527664
-12.99,300,7187.301036
-12.99,300,7188.523957
-12.99,300,7189.749571
-12.99,300,7190.983507
8.03,198,7192.165792
8.55,146,7192.955294
9.39,62,7193.511105
-12.99,300,7193.914866
-12.99,300,7195.166146
8.03,198,7196.351295
-12.99,300,7197.220513
-12.99,300,7198.447731
-12.99,300,7199.678259
-12.99,300,7200.906941
9.38,63,7201.993906
-12.99,300,7206.598535
-12.99,300,7207.830926
-12.99,300,7209.061554
7.67,234,7210.251122
-12.99,300,7211.24227
-12.99,300,7212.46482
7.97,204,7213.629982
8.16,185,7214.45866
-12.99,300,7215.29587
-12.99,300,7216.553142
-12.99,300,7217.812908
-12.99,300,7219.038396
8.77,124,7220.158553
9.39,62,7220.627425
-12.99,300,7221.019588
-12.99,300,7222.244544
-12.99,300,7223.46782
-12.99,300,7224.700439
-12.99,300,7225.935127
-12.99,300,7227.164194
-12.99,300,7228.398766
-12.99,300,7229.645056
-12.99,300,7230.898004
-12.99,300,7232.146612
-12.99,300,7233.400355
-12.99,300,7234.655971
-12.99,300,7235.915697
8.02,199,7237.114891
-12.99,300,7238.015452
-12.99,300,7239.255757
8.39,162,7240.404358
-12.99,300,7241.150242
-12.99,300,7242.386216
-12.99,300,7243.633148
-12.99,300,7244.859499
-12.99,300,7246.082696
8.31,170,7247.229051
-12.99,300,7252.126327
-12.99,300,7253.355183
7.81,220,7254.533769
-12.99,300,7255.480593
-12.99,300,7256.707506
-12.99,300,7257.931536
-12.99,300,7259.164472
7.24,277,7260.40785
7.87,214,7261.532521
-12.99,300,7262.475864
-12.99,300,7263.718757
-12.99,300,7264.979491
-12.99,300,7266.235574
-12.99,300,7267.49357
-12.99,300,7268.750312
-12.99,300,7270.012802
-12.99,300,7271.274292
-12.99,300,7272.536856
-12.99,300,7273.795928
-12.99,300,7275.03581
-12.99,300,7276.257107
-12.99,300,7277.483681
7.99,202,7278.656687
-12.99,300,7279.549212
9.45,56,7280.637185
9.44,57,7280.868347
7.5,251,7281.215565
-12.99,300,7282.274604
-12.99,300,7283.498618
-12.99,300,7284.7243
-12.99,300,7285.95
-12.99,300,7287.174627
-12.99,300,7288.399176
7.45,256,7289.601247
7.48,253,7290.651764
-12.99,300,7291.730263
-12.99,300,7297.092852
-12.99,300,7298.358268
8.37,164,7299.507818
-12.99,300,7300.258076
7.67,234,7301.443851
9.09,92,7302.316171
7.39,262,7302.791489
-12.99,300,7303.885575
-12.99,300,7305.11397
-12.99,300,7306.337551
-12.99,300,7307.564336
-12.99,300,7308.818588
-12.99,300,7310.04213
8.61,140,7311.178648
-12.99,300,7311.858597
-12.99,300,7313.111911
-12.99,300,7314.365856
-12.99,300,7315.617648
-12.99,300,7316.883141
-12.99,300,7318.145178
7.77,224,7319.361821
-12.99,300,7320.347637
-12.99,300,7321.608393
-12.99,300,7322.868784
-12.99,300,7324.131751
7.04,297,7325.38952
-12.99,300,7326.633221
7.48,253,7327.836825
-12.99,300,7328.896403
-12.99,300,7330.151235
-12.99,300,7331.409802
9.44,57,7332.518093
-12.99,300,7332.90089
-12.99,300,7334.160114
-12.99,300,7335.392336
-12.99,300,7336.65226
-12.99,300,7337.879604
-12.99,300,7343.240587
8.36,165,7344.387772
-12.99,300,7345.140983
-12.99,300,7346.36018
7.02,299,7347.586072
-12.99,300,7348.827685
-12.99,300,7350.079995
7.99,202,7351.268481
-12.99,300,7352.179352
7.98,203,7353.381468
-12.99,300,7354.294766
-12.99,300,7355.560121
-12.99,300,7356.823166
-12.99,300,7358.075061
-12.99,300,7359.31221
-12.99,300,7360.544397
-12.99,300,7361.777581
-12.99,300,7363.007954
-12.99,300,7364.239896
-12.99,300,7365.467539
-12.99,300,7366.698328
-12.99,300,7367.924851
-12.99,300,7369.14967
-12.99,300,7370.37897
8.65,136,7371.51934
-12.99,300,7372.183885
-12.99,300,7373.426188
-12.99,300,7374.686262
-12.99,300,7375.948044
7.95,206,7377.144831
-12.99,300,7378.042852
9.47,54,7379.130323
-12.99,300,7379.498836
-12.99,300,7380.72857
-12.99,300,7381.956292
-12.99,300,7383.183906
7.34,267,7388.514429
7.72,229,7389.591984
7.85,216,7390.517622
-12.99,300,7391.448014
-12.99,300,7392.691218
-12.99,300,7393.955762
-12.99,300,7395.224289
-12.99,300,7396.48962
-12.99,300,7397.749118
8.78,123,7398.891648
-12.99,300,7399.496192
-12.99,300,7400.724503
8.2,181,7401.883231
-12.99,300,7402.690492
-12.99,300,7403.914299
9.11,90,7405.018385
-12.99,300,7405.507962
-12.99,300,7406.737983
7.45,256,7407.943058
-12.99,300,7409.01138
-12.99,300,7410.235
-12.99,300,7411.456574
-12.99,300,7412.6739
-12.99,300,7413.892729
-12.99,300,7415.113565
-12.99,300,7416.33175
7.62,239,7417.515771
-12.99,300,7418.526428
-12.99,300,7419.753132
-12.99,300,7420.98602
8.15,186,7422.166836
7.6,241,7422.962284
8.41,160,7423.899276
-12.99,300,7424.636049
8.51,150,7425.780511
-12.99,300,7426.478595
-12.99,300,7427.698645
-12.99,300,7428.933707
-12.99,300,7434.278029
7.89,212,7435.466036
-12.99,300,7436.403854
-12.99,300,7437.656738
8.28,173,7438.836568
-12.99,300,7439.640664
-12.99,300,7440.90216
-12.99,300,7442.161816
8.27,174,7443.354073
-12.99,300,7444.155776
-12.99,300,7445.384617
-12.99,300,7446.617838
-12.99,300,7447.876757
7.75,226,7449.09184
-12.99,300,7450.091876
-12.99,300,7451.333039
-12.99,300,7452.563058
7.81,220,7453.746363
-12.99,300,7454.699965
9.23,78,7455.793941
-12.99,300,7456.244893
-12.99,300,7457.470705
-12.99,300,7458.697834
-12.99,300,7459.928952
-12.99,300,7461.16221
-12.99,300,7462.396037
-12.99,300,7463.621109
8.76,125,7464.739504
-12.99,300,7465.389295
-12.99,300,7466.673155
-12.99,300,7467.90157
7.48,253,7469.091422
-12.99,300,7470.146999
-12.99,300,7471.364828
-12.99,300,7472.586285
-12.99,300,7473.807751
-12.99,300,7479.539478
-12.99,300,7480.762807
-12.99,300,7481.98631
-12.99,300,7483.210946
-12.99,300,7484.436979
-12.99,300,7485.656515
-12.99,300,7486.880889
-12.99,300,7488.105756
-12.99,300,7489.33264
-12.99,300,7490.555079
-12.99,300,7491.779094
-12.99,300,7493.001371
9.11,90,7494.098709
-12.99,300,7494.586459
7.03,298,7495.808649
-12.99,300,7497.026518
-12.99,300,7498.250589
-12.99,300,7499.477358
-12.99,300,7500.703512
-12.99,300,7501.964508
-12.99,300,7503.227301
-12.99,300,7504.458099
7.07,294,7505.677702
-12.99,300,7506.879888
-12.99,300,7508.11776
8.44,157,7509.277148
-12.99,300,7510.013986
-12.99,300,7511.259356
-12.99,300,7512.518562
-12.99,300,7513.780134
7.57,244,7514.999785
-12.99,300,7516.033202
-12.99,300,7517.267712
9.24,77,7518.367726
-12.99,300,7518.812938
-12.99,300,7520.047617
7.66,235,7525.51368
-12.99,300,7526.509309
8.7,131,7527.634709
8.45,156,7528.184261
-12.99,300,7528.906787
-12.99,300,7530.134392
-12.99,300,7531.36238
-12.99,300,7532.591333
-12.99,300,7533.817446
-12.99,300,7535.05265
-12.99,300,7536.296942
-12.99,300,7537.517876
-12.99,300,7538.736959
8.03,198,7539.898418
8.18,183,7540.693779
-12.99,300,7541.528163
-12.99,300,7542.789196
-12.99,300,7544.04763
-12.99,300,7545.310452
-12.99,300,7546.572233
-12.99,300,7547.827179
7.82,219,7549.037223
-12.99,300,7550.004906
7.22,279,7551.249076
7.51,250,7552.401378
-12.99,300,7553.484122
-12.99,300,7554.747464
8.18,183,7555.935006
-12.99,300,7556.770554
-12.99,300,7557.995242
-12.99,300,7559.220791
-12.99,300,7560.444511
-12.99,300,7561.674582
7.94,207,7562.843351
-12.99,300,7563.742161
-12.99,300,7564.970514
-12.99,300,7570.092526
-12.99,300,7571.326634
9.42,59,7572.416996
-12.99,300,7572.797747
-12.99,300,7574.028309
-12.99,300,7575.259636
-12.99,300,7576.512428
-12.99,300,7577.747712
-12.99,300,7578.97778
-12.99,300,7580.205739
8.4,161,7581.345029
-12.99,300,7582.08181
-12.99,300,7583.303464
9.46,55,7584.381957
-12.99,300,7584.755435
8.36,165,7585.898291
7.1,291,7586.639517
-12.99,300,7587.830859
-12.99,300,7589.062261
-12.99,300,7590.300627
8.37,164,7591.446712
-12.99,300,7592.195697
-12.99,300,7593.413231
-12.99,300,7594.630315
-12.99,300,7595.852952
-12.99,300,7597.074818
-12.99,300,7598.296968
7.37,264,7599.509388
-12.99,300,7600.624238
-12.99,300,7601.866937
-12.99,300,7603.109296
-12.99,300,7604.352659
-12.99,300,7605.595173
-12.99,300,7606.844158
-12.99,300,7608.098531
-12.99,300,7609.360048
-12.99,300,7610.618044
-12.99,300,7615.999168
-12.99,300,7617.262525
-12.99,300,7618.525453
-12.99,300,7619.789925
8.69,132,7620.949895
-12.99,300,7621.604957
-12.99,300,7622.8385
-12.99,300,7624.067691
-12.99,300,7625.294394
-12.99,300,7626.541513
-12.99,300,7627.798417
7.64,237,7629.015672
-12.99,300,7630.04525
-12.99,300,7631.303829
-12.99,300,7632.567502
-12.99,300,7633.831343
-12.99,300,7635.091098
7.75,226,7636.373427
-12.99,300,7637.343416
8.01,200,7638.513338
-12.99,300,7639.391349
-12.99,300,7640.638
-12.99,300,7641.882282
-12.99,300,7643.126208
